vname,lname
a073143,(여가)현재보다많은시간을보내기원하는활동
a073144,(여가)줄일수있는활동
a073145,(여가)줄일수있는활동
a073146,(여가)줄일수있는활동
a073151,(여가)독서경험
a073152,(여가)독서량-1.교양서적
a073153,(여가)독서량-2.직업과관련된전문서적류
a073154,(여가)독서량-3.실용서적
a073155,(여가)독서량-4.생활정보및취미관련서적
a073161,(여가)일간신문구독
a073162,(여가)구독일수-1.일간신문
a073163,(여가)구독일수-2.무료배포신문
a073164,(여가)구독일수-3.인터넷
a073171,(여가)TV시청시간-1.평일
a073172,(여가)TV시청시간-2.토요일
a073173,(여가)TV시청시간-3.일요일
a073181,(여가)종교
a073182,(여가)종교활동참여
version,21차년도 release 자료
